,jd,limMag,filterid,fieldid,comment
0,58239.5,25.0,ztfg,500,
1,58239.541666666664,25.0,ztfr,500,
2,58239.583333333336,25.0,ztfi,500,
3,58239.65501910894,25.0,ztfg,500,
4,58239.696685775605,25.0,ztfr,500,
5,58239.73835244227,25.0,ztfi,500,
6,58240.5,25.0,ztfg,500,
7,58240.541666666664,25.0,ztfr,500,
8,58240.583333333336,25.0,ztfi,500,
9,58240.70786714698,25.0,ztfg,500,
10,58240.74953381364,25.0,ztfr,500,
11,58240.791200480315,25.0,ztfi,500,
12,58241.5,25.0,ztfg,500,
13,58241.541666666664,25.0,ztfr,500,
14,58241.583333333336,25.0,ztfi,500,
15,58241.641826059626,25.0,ztfg,500,
16,58241.68349272629,25.0,ztfr,500,
17,58241.72515939296,25.0,ztfi,500,
18,58242.5,25.0,ztfg,500,
19,58242.541666666664,25.0,ztfr,500,
20,58242.583333333336,25.0,ztfi,500,
21,58242.632574023926,25.0,ztfg,500,
22,58242.67424069059,25.0,ztfr,500,
23,58242.715907357255,25.0,ztfi,500,
24,58243.5,25.0,ztfg,500,
25,58243.541666666664,25.0,ztfr,500,
26,58243.583333333336,25.0,ztfi,500,
27,58243.701257497305,25.0,ztfg,500,
28,58243.74292416397,25.0,ztfr,500,
29,58243.78459083064,25.0,ztfi,500,
30,58244.5,25.0,ztfg,500,
31,58244.541666666664,25.0,ztfr,500,
32,58244.583333333336,25.0,ztfi,500,
33,58244.66453792909,25.0,ztfg,500,
34,58244.70620459576,25.0,ztfr,500,
35,58244.74787126242,25.0,ztfi,500,
36,58245.5,25.0,ztfg,500,
37,58245.541666666664,25.0,ztfr,500,
38,58245.583333333336,25.0,ztfi,500,
39,58245.66635922403,25.0,ztfg,500,
40,58245.70802589069,25.0,ztfr,500,
41,58245.749692557365,25.0,ztfi,500,
42,58246.5,25.0,ztfg,500,
43,58246.541666666664,25.0,ztfr,500,
44,58246.583333333336,25.0,ztfi,500,
45,58246.67304896964,25.0,ztfg,500,
46,58246.71471563631,25.0,ztfr,500,
47,58246.75638230298,25.0,ztfi,500,
